func,control,ta,agg,meter_num,meter_time,name,host,timestamp
meterRepTime_r9,24688240,0,10375186,20,348136704,cir,raspberrypi,2021-07-29T213522
meterRepTime_r8,24541759,0,6432815,20,329614387,cir,raspberrypi,2021-07-29T213522
meterRepTime_r7,24270371,0,5706630,20,329482053,cir,raspberrypi,2021-07-29T213522
meterRepTime_r6,24156259,0,4682426,20,327044553,cir,raspberrypi,2021-07-29T213522
meterRepTime_r5,24394444,0,6179519,20,328013373,cir,raspberrypi,2021-07-29T213522
meterRepTime_r4,24399278,0,6412889,20,329068183,cir,raspberrypi,2021-07-29T213522
meterRepTime_r3,24140741,0,17241463,20,324245777,cir,raspberrypi,2021-07-29T213522
meterRepTime_r2,24115592,0,4848407,20,323419514,cir,raspberrypi,2021-07-29T213522
meterRepTime_r10,27584908,0,105330222,20,447319334,cir,raspberrypi,2021-07-29T213251
meterRepTime_r9,24451000,0,9129278,20,338822721,cir,raspberrypi,2021-07-29T213251
meterRepTime_r8,24561019,0,6339945,20,331326555,cir,raspberrypi,2021-07-29T213251
meterRepTime_r7,24238445,0,6149445,20,329403613,cir,raspberrypi,2021-07-29T213251
meterRepTime_r6,24100796,0,4834871,20,348664927,cir,raspberrypi,2021-07-29T213251
meterRepTime_r5,24570000,0,6904611,20,329256853,cir,raspberrypi,2021-07-29T213251
meterRepTime_r4,24400000,0,6650704,20,329508093,cir,raspberrypi,2021-07-29T213251
meterRepTime_r3,24060963,0,4411407,20,325066332,cir,raspberrypi,2021-07-29T213251
meterRepTime_r2,24075537,0,4645648,20,325053407,cir,raspberrypi,2021-07-29T213251
meterRepTime_r10,27932037,0,123307611,20,451124849,cir,raspberrypi,2021-07-29T214516
meterRepTime_r9,24577778,0,9084834,20,333933206,cir,raspberrypi,2021-07-29T214516
meterRepTime_r8,24612167,0,6804851,20,328749076,cir,raspberrypi,2021-07-29T214516
meterRepTime_r7,24383408,0,5835834,20,327737737,cir,raspberrypi,2021-07-29T214516
meterRepTime_r6,24287333,0,4719444,20,327262261,cir,raspberrypi,2021-07-29T214516
